resume_text,job_description_text,label
"Detail-oriented developer with expertise in creating web applications using django, apis, problem-solving, python, flask, sql.","Job opening for a Python programmer. The ideal candidate will know django, python, flask, sql, problem-solving.",Fit
"Software engineer specializing in backend development with Python. Proficient in teamwork, apis, sql, git, python, django.","Job opening for a Python programmer. The ideal candidate will know agile methodologies, django, python, sql, git, apis, communication, problem-solving.",Fit
"Frontend engineer focused on performance and user experience. Expertise in communication, leadership, typescript, vue, react, javascript.","Data Scientist role available. The candidate must be proficient in pandas, tensorflow, python, sql, agile methodologies.",No Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in agile methodologies, tensorflow, scikit-learn, pandas, leadership.","We are looking for a Machine Learning expert to join our data team. Must know problem-solving, tensorflow, leadership, statistics, scikit-learn, python, pandas, sql, communication.",Fit
"UI specialist with a passion for modern web technologies, including typescript, vue, html, teamwork, problem-solving, leadership.","Urgent hiring for a React Developer. Must have a strong command of agile methodologies, html, css, vue, communication, problem-solving.",Fit
"Software engineer specializing in backend development with Python. Proficient in git, django, sql, python, problem-solving, flask, apis.","Seeking a skilled Software Engineer for a backend role. Requirements include python, sql, apis, django, agile methodologies.",Fit
"DevOps professional specializing in cloud automation and containerization with problem-solving, terraform, linux, aws, ci/cd.","We are looking for a Machine Learning expert to join our data team. Must know leadership, communication, pandas, problem-solving, statistics, tensorflow, sql, python, scikit-learn.",No Fit
"Data Scientist with a proven track record of building predictive models using pandas, python, scikit-learn, leadership, statistics, tensorflow, communication, teamwork, sql.","Looking for a Frontend Developer proficient in react, html, css, problem-solving, typescript to build our next-gen UI.",No Fit
"DevOps professional specializing in cloud automation and containerization with ci/cd, leadership, aws, linux, docker.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with aws, ci/cd, communication, problem-solving, leadership, terraform is mandatory.",Fit
"Experienced Python Developer with a strong background in leadership, apis, teamwork, flask, django seeking a challenging role.","Urgent hiring for a React Developer. Must have a strong command of react, javascript, problem-solving, agile methodologies, typescript, leadership.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using problem-solving, sql, scikit-learn, tensorflow.","We are looking for a Machine Learning expert to join our data team. Must know problem-solving, pandas, python, statistics, sql, tensorflow.",Fit
"DevOps professional specializing in cloud automation and containerization with ci/cd, problem-solving, aws, linux, docker, terraform, kubernetes, communication.","Join our UI team! We are looking for a developer with experience in css, typescript, html, leadership, react.",No Fit
"UI specialist with a passion for modern web technologies, including vue, css, typescript, leadership, html, communication, problem-solving.","Urgent hiring for a React Developer. Must have a strong command of javascript, react, html, communication.",Fit
"DevOps professional specializing in cloud automation and containerization with terraform, problem-solving, linux, kubernetes, ci/cd, docker.","Job opening for a Python programmer. The ideal candidate will know python, sql, leadership, communication, git, flask.",No Fit
"UI specialist with a passion for modern web technologies, including typescript, css, communication, leadership, react, vue, javascript, html.","DevOps Engineer needed. Must have hands-on experience with docker, problem-solving, terraform, agile methodologies, ci/cd.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using sql, problem-solving, pandas, agile methodologies, python, leadership, tensorflow, scikit-learn, statistics.","Hiring a Data Scientist to analyze large datasets. Required skills include tensorflow, statistics, pandas, problem-solving, sql.",Fit
"DevOps professional specializing in cloud automation and containerization with aws, agile methodologies, kubernetes, linux.","Join our cloud team! We require knowledge of aws, terraform, ci/cd, problem-solving, teamwork, linux.",Fit
"DevOps professional specializing in cloud automation and containerization with docker, aws, leadership, agile methodologies, ci/cd, linux.","Join our cloud team! We require knowledge of kubernetes, terraform, aws, docker, problem-solving, linux, ci/cd.",Fit
"Detail-oriented developer with expertise in creating web applications using flask, problem-solving, leadership, communication, python, git.","We are hiring a Python Developer to join our team. Must have experience with leadership, django, problem-solving, git, agile methodologies, sql.",Fit
"Detail-oriented developer with expertise in creating web applications using sql, communication, problem-solving, git, flask, python, apis, django.","Seeking a skilled Software Engineer for a backend role. Requirements include python, apis, agile methodologies, django.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with communication, html, react, vue, css, problem-solving, javascript, typescript.","Seeking a skilled Software Engineer for a backend role. Requirements include leadership, apis, flask, django, python, sql, git, communication.",No Fit
"Software engineer specializing in backend development with Python. Proficient in sql, django, git, teamwork, problem-solving, python, apis, flask.","Job opening for a Python programmer. The ideal candidate will know git, agile methodologies, flask, python, leadership.",Fit
"Cloud infrastructure expert with skills in agile methodologies, terraform, kubernetes, teamwork, linux.","Join our cloud team! We require knowledge of terraform, linux, docker, kubernetes, ci/cd, teamwork, aws, problem-solving, agile methodologies.",Fit
"Cloud infrastructure expert with skills in ci/cd, docker, problem-solving, teamwork, kubernetes, linux, communication, aws.","Seeking a skilled Software Engineer for a backend role. Requirements include flask, apis, agile methodologies, python, django, git.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in html, css, teamwork, agile methodologies, typescript, javascript, vue, react, communication.","DevOps Engineer needed. Must have hands-on experience with leadership, docker, terraform, linux, communication, aws, kubernetes.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using statistics, leadership, scikit-learn, pandas, sql, python.","Seeking a skilled Software Engineer for a backend role. Requirements include sql, git, communication, django, python.",No Fit
"Cloud infrastructure expert with skills in terraform, docker, ci/cd, communication.","Join our cloud team! We require knowledge of linux, aws, ci/cd, communication, terraform.",Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using docker, agile methodologies, aws, terraform, linux, ci/cd, communication, leadership.","Join our cloud team! We require knowledge of aws, teamwork, docker, linux.",Fit
"Frontend engineer focused on performance and user experience. Expertise in html, vue, leadership, typescript, agile methodologies, react, css, javascript.","Urgent hiring for a React Developer. Must have a strong command of problem-solving, javascript, html, typescript, teamwork.",Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using problem-solving, ci/cd, aws, kubernetes, terraform, docker, linux.","Join our cloud team! We require knowledge of leadership, communication, problem-solving, ci/cd, aws, linux, kubernetes.",Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using teamwork, kubernetes, ci/cd, terraform, agile methodologies.","Looking for a Frontend Developer proficient in css, problem-solving, typescript, javascript, html, react to build our next-gen UI.",No Fit
"Experienced Python Developer with a strong background in git, flask, python, communication seeking a challenging role.","Seeking a skilled Software Engineer for a backend role. Requirements include teamwork, apis, django, communication, agile methodologies, git, python.",Fit
"Frontend engineer focused on performance and user experience. Expertise in html, problem-solving, typescript, css, vue, communication, javascript, teamwork.","Join our UI team! We are looking for a developer with experience in html, leadership, vue, problem-solving, typescript, react.",Fit
"Detail-oriented developer with expertise in creating web applications using agile methodologies, leadership, django, apis, communication, flask, git, python.","Urgent hiring for a React Developer. Must have a strong command of communication, css, vue, typescript, react.",No Fit
"Creative Frontend Developer skilled in building responsive user interfaces with vue, react, leadership, agile methodologies, problem-solving, javascript.","Urgent hiring for a React Developer. Must have a strong command of typescript, javascript, react, problem-solving, vue, agile methodologies, css.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with javascript, leadership, react, typescript, css, html, problem-solving.","Looking for a Frontend Developer proficient in communication, react, leadership, agile methodologies, javascript, css to build our next-gen UI.",Fit
"Frontend engineer focused on performance and user experience. Expertise in vue, agile methodologies, typescript, html, react, javascript, css.","Join our UI team! We are looking for a developer with experience in communication, leadership, html, javascript, problem-solving, vue, css, typescript.",Fit
"Data Scientist with a proven track record of building predictive models using teamwork, problem-solving, scikit-learn, sql, pandas, statistics, tensorflow, python.","Seeking a skilled Software Engineer for a backend role. Requirements include flask, apis, agile methodologies, django, communication, sql, git, teamwork, python.",No Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using terraform, teamwork, agile methodologies, problem-solving, linux, kubernetes, aws, ci/cd, docker.","Job opening for a Python programmer. The ideal candidate will know django, leadership, git, python, flask, problem-solving.",No Fit
"Cloud infrastructure expert with skills in kubernetes, terraform, aws, linux, communication, docker, ci/cd.","Join our cloud team! We require knowledge of linux, teamwork, docker, ci/cd.",Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using agile methodologies, kubernetes, linux, ci/cd, communication, terraform, leadership, aws, docker.","Join our UI team! We are looking for a developer with experience in css, problem-solving, typescript, react, vue, leadership, html, javascript, agile methodologies.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in communication, javascript, react, vue, css.","Urgent hiring for a React Developer. Must have a strong command of agile methodologies, typescript, javascript, html, css, teamwork, leadership.",Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using leadership, kubernetes, ci/cd, linux, docker, communication, terraform.","We are looking for a Machine Learning expert to join our data team. Must know problem-solving, sql, tensorflow, scikit-learn, communication, leadership.",No Fit
"Software engineer specializing in backend development with Python. Proficient in flask, python, communication, django, problem-solving.","We are looking for a Machine Learning expert to join our data team. Must know statistics, tensorflow, teamwork, python.",No Fit
"Data Scientist with a proven track record of building predictive models using python, pandas, tensorflow, scikit-learn, communication, sql.","We are hiring a Python Developer to join our team. Must have experience with python, git, agile methodologies, flask, apis.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in agile methodologies, typescript, teamwork, javascript, react, communication.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with aws, docker, communication, linux, agile methodologies, kubernetes, teamwork, ci/cd is mandatory.",No Fit
"Data Scientist with a proven track record of building predictive models using communication, pandas, tensorflow, sql, python, scikit-learn, leadership, statistics.","We are looking for a Machine Learning expert to join our data team. Must know communication, leadership, pandas, tensorflow, sql, python, agile methodologies, statistics, scikit-learn.",Fit
"Experienced Python Developer with a strong background in flask, django, python, leadership seeking a challenging role.","Job opening for a Python programmer. The ideal candidate will know git, sql, python, leadership, apis.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using sql, statistics, pandas, leadership, teamwork, python, tensorflow.","Seeking a skilled Software Engineer for a backend role. Requirements include python, git, communication, sql.",No Fit
"Cloud infrastructure expert with skills in kubernetes, ci/cd, terraform, docker, linux, leadership.","DevOps Engineer needed. Must have hands-on experience with terraform, leadership, kubernetes, problem-solving, docker, ci/cd, linux, aws.",Fit
"UI specialist with a passion for modern web technologies, including typescript, css, react, communication, leadership, vue, problem-solving, html, javascript.","Seeking a skilled Software Engineer for a backend role. Requirements include agile methodologies, flask, apis, git, django, communication, sql, python.",No Fit
"DevOps professional specializing in cloud automation and containerization with problem-solving, terraform, leadership, kubernetes, docker, teamwork.","Join our cloud team! We require knowledge of problem-solving, ci/cd, terraform, communication, agile methodologies, linux, docker.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using agile methodologies, pandas, sql, statistics, scikit-learn, python, tensorflow, communication.","DevOps Engineer needed. Must have hands-on experience with docker, aws, linux, kubernetes, teamwork, problem-solving.",No Fit
"Software engineer specializing in backend development with Python. Proficient in apis, python, git, teamwork, flask, problem-solving.","Seeking a skilled Software Engineer for a backend role. Requirements include django, leadership, flask, git, sql, communication, teamwork, apis.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with vue, typescript, react, html, teamwork, css, communication, javascript.","Hiring a Data Scientist to analyze large datasets. Required skills include pandas, agile methodologies, statistics, leadership, scikit-learn.",No Fit
"DevOps professional specializing in cloud automation and containerization with problem-solving, agile methodologies, ci/cd, leadership, linux, terraform.","Join our cloud team! We require knowledge of communication, terraform, aws, kubernetes.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using tensorflow, problem-solving, pandas, teamwork, sql, python, scikit-learn, communication.","We are looking for a Machine Learning expert to join our data team. Must know agile methodologies, leadership, statistics, communication, scikit-learn, python, tensorflow.",Fit
"Experienced Python Developer with a strong background in flask, python, communication, apis, teamwork, django, problem-solving seeking a challenging role.","Data Scientist role available. The candidate must be proficient in statistics, teamwork, pandas, tensorflow, scikit-learn, sql, leadership.",No Fit
"Cloud infrastructure expert with skills in kubernetes, communication, problem-solving, ci/cd, aws, docker, linux.","Data Scientist role available. The candidate must be proficient in statistics, scikit-learn, leadership, pandas, agile methodologies, communication, tensorflow.",No Fit
"Experienced Python Developer with a strong background in teamwork, sql, flask, leadership, django, git, python seeking a challenging role.","Job opening for a Python programmer. The ideal candidate will know communication, teamwork, flask, problem-solving, git, sql, django.",Fit
"Cloud infrastructure expert with skills in teamwork, ci/cd, aws, docker, problem-solving, linux, leadership.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with kubernetes, docker, problem-solving, aws is mandatory.",Fit
"Experienced Python Developer with a strong background in sql, django, flask, git, teamwork, python, apis seeking a challenging role.","Join our cloud team! We require knowledge of terraform, aws, leadership, docker, ci/cd.",No Fit
"UI specialist with a passion for modern web technologies, including vue, html, agile methodologies, css.","Job opening for a Python programmer. The ideal candidate will know agile methodologies, flask, apis, python.",No Fit
"UI specialist with a passion for modern web technologies, including vue, leadership, javascript, typescript, communication.","We are looking for a Machine Learning expert to join our data team. Must know pandas, python, statistics, communication, agile methodologies, tensorflow.",No Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in pandas, leadership, tensorflow, teamwork, communication, python, statistics, scikit-learn.","We are looking for a Machine Learning expert to join our data team. Must know communication, scikit-learn, python, leadership, sql, tensorflow.",Fit
"Detail-oriented developer with expertise in creating web applications using git, apis, python, leadership, sql, agile methodologies, teamwork.","DevOps Engineer needed. Must have hands-on experience with aws, agile methodologies, problem-solving, terraform, kubernetes, ci/cd.",No Fit
"Software engineer specializing in backend development with Python. Proficient in flask, communication, apis, django, problem-solving, python.","DevOps Engineer needed. Must have hands-on experience with linux, leadership, aws, teamwork, docker.",No Fit
"Cloud infrastructure expert with skills in terraform, leadership, linux, docker.","Hiring a Data Scientist to analyze large datasets. Required skills include statistics, pandas, sql, scikit-learn, agile methodologies, leadership, teamwork, python.",No Fit
"Cloud infrastructure expert with skills in terraform, communication, linux, teamwork, kubernetes.","We are hiring a Python Developer to join our team. Must have experience with sql, flask, python, django, git, leadership, apis, agile methodologies.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using pandas, leadership, communication, python, scikit-learn, sql, statistics.","Hiring a Data Scientist to analyze large datasets. Required skills include statistics, communication, agile methodologies, python, pandas.",Fit
"UI specialist with a passion for modern web technologies, including teamwork, vue, css, react, html, typescript.","We are hiring a Python Developer to join our team. Must have experience with leadership, apis, python, sql, git, agile methodologies.",No Fit
"Experienced Python Developer with a strong background in agile methodologies, apis, python, communication, flask, leadership, sql seeking a challenging role.","Join our cloud team! We require knowledge of ci/cd, problem-solving, linux, communication, teamwork, aws.",No Fit
"Software engineer specializing in backend development with Python. Proficient in leadership, django, agile methodologies, apis, sql, teamwork.","Seeking a skilled Software Engineer for a backend role. Requirements include sql, leadership, django, flask, git, communication, apis.",Fit
"Frontend engineer focused on performance and user experience. Expertise in html, vue, typescript, css, problem-solving.","Join our UI team! We are looking for a developer with experience in vue, problem-solving, react, leadership, javascript, css.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using pandas, scikit-learn, tensorflow, teamwork, sql.","Hiring a Data Scientist to analyze large datasets. Required skills include sql, python, tensorflow, statistics, pandas, scikit-learn, leadership.",Fit
